Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,6,17.20,344.08,7.57,15.87,0.00,0.00
Convex,2,7,0.52,10.43,8.02,0.00,0.00,0.00
Convex,3,5,12.72,254.48,4.68,55.67,0.00,0.00
Convex,4,4,2.26,45.14,8.02,0.00,0.00,0.00
Convex,5,3,21.06,421.19,8.02,0.00,0.00,0.00
Convex,6,2,3.96,79.18,4.01,80.15,0.00,0.00
Convex,7,0,32.87,657.34,8.02,0.00,0.00,0.00
Convex,8,1,0.00,0.00,8.02,0.00,26.95,539.04
V-Shaped,1,N/A,13.08,261.66,15.36,307.14,0.00,0.00
V-Shaped,2,N/A,0.00,0.00,11.64,232.88,0.00,0.00
V-Shaped,3,N/A,7.62,152.32,7.29,145.87,0.00,0.00
V-Shaped,4,N/A,0.00,0.00,17.54,350.71,0.00,0.00
V-Shaped,5,N/A,11.08,221.64,7.29,145.87,0.00,0.00
V-Shaped,6,N/A,0.00,0.00,12.74,254.84,0.00,0.00
V-Shaped,7,N/A,25.97,519.46,10.02,200.47,0.00,0.00
V-Shaped,8,N/A,0.00,0.00,9.30,186.00,26.15,523.08
