Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,3,9.46,189.17,4.40,59.38,0.00,0.00
Convex,2,2,2.51,50.29,5.80,60.21,0.00,0.00
Convex,3,4,13.21,264.15,8.02,0.00,0.00,0.00
Convex,4,5,0.61,12.14,7.60,20.59,0.00,0.00
Convex,5,0,15.99,319.79,8.02,0.00,0.00,0.00
Convex,6,1,5.60,112.04,5.32,84.02,0.00,0.00
Convex,7,6,48.75,975.03,7.60,38.13,0.00,0.00
Convex,8,7,3.43,68.70,8.02,0.00,39.30,786.07
V-Shaped,1,N/A,4.66,93.24,7.00,140.05,0.00,0.00
V-Shaped,2,N/A,0.00,0.00,19.64,392.83,0.00,0.00
V-Shaped,3,N/A,7.16,143.11,8.47,169.45,0.00,0.00
V-Shaped,4,N/A,0.00,0.00,6.86,137.22,0.00,0.00
V-Shaped,5,N/A,8.66,173.10,8.47,169.45,0.00,0.00
V-Shaped,6,N/A,0.00,0.00,14.18,283.64,0.00,0.00
V-Shaped,7,N/A,34.99,699.76,15.36,307.14,0.00,0.00
V-Shaped,8,N/A,0.00,0.00,6.07,121.47,39.33,786.69
