Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,1,26.85,537.04,8.02,0.00,0.00,0.00
Convex,2,0,0.63,12.65,8.02,0.00,0.00,0.00
Convex,3,2,14.58,291.51,7.07,12.10,0.00,0.00
Convex,4,3,0.38,7.53,8.02,0.00,0.00,0.00
Convex,5,6,21.49,429.78,6.28,49.42,0.00,0.00
Convex,6,7,2.25,44.96,8.02,0.00,0.00,0.00
Convex,7,4,40.68,813.51,7.56,4.35,0.00,0.00
Convex,8,5,0.14,2.71,8.02,0.00,33.36,667.11
V-Shaped,1,N/A,24.29,485.75,8.47,169.45,0.00,0.00
V-Shaped,2,N/A,0.00,0.00,6.40,128.05,0.00,0.00
V-Shaped,3,N/A,5.21,104.22,7.00,140.05,0.00,0.00
V-Shaped,4,N/A,2.76,55.18,8.47,169.45,0.00,0.00
V-Shaped,5,N/A,15.87,317.41,7.29,145.87,0.00,0.00
V-Shaped,6,N/A,0.61,12.24,19.97,399.42,0.00,0.00
V-Shaped,7,N/A,30.80,615.97,7.29,145.87,0.00,0.00
V-Shaped,8,N/A,0.00,0.00,6.70,133.99,33.38,667.69
