Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,5,28.34,566.71,5.55,49.83,0.00,0.00
Convex,2,4,1.90,38.07,8.02,0.00,0.00,0.00
Convex,3,6,14.97,299.35,8.02,0.00,0.00,0.00
Convex,4,7,4.85,96.92,5.42,73.70,0.00,0.00
Convex,5,3,13.92,278.35,3.85,76.97,0.00,0.00
Convex,6,2,3.84,76.83,8.02,0.00,0.00,0.00
Convex,7,1,14.10,282.07,8.02,0.00,0.00,0.00
Convex,8,0,0.00,0.00,8.02,0.00,20.80,416.00
V-Shaped,1,N/A,24.19,483.80,18.84,376.76,0.00,0.00
V-Shaped,2,N/A,0.00,0.00,9.66,193.19,0.00,0.00
V-Shaped,3,N/A,6.80,135.95,8.47,169.45,0.00,0.00
V-Shaped,4,N/A,0.00,0.00,14.38,287.66,0.00,0.00
V-Shaped,5,N/A,2.95,59.07,19.36,387.28,0.00,0.00
V-Shaped,6,N/A,0.00,0.00,10.71,214.17,0.00,0.00
V-Shaped,7,N/A,4.98,99.65,7.29,145.87,0.00,0.00
V-Shaped,8,N/A,1.66,33.10,8.47,169.45,15.69,313.81
