Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,4,20.27,405.30,8.02,0.00,0.00,0.00
Convex,2,0,13.54,270.74,8.02,0.00,0.00,0.00
Convex,3,1,0.97,19.45,6.94,28.98,0.00,0.00
Convex,4,6,21.02,420.32,5.57,111.42,0.00,0.00
Convex,5,7,6.92,138.48,8.02,0.00,0.00,0.00
Convex,6,3,53.62,1072.49,8.02,0.00,0.00,0.00
Convex,7,2,2.53,50.70,3.88,62.28,0.00,0.00
Convex,8,5,38.85,776.92,8.02,0.00,5.11,102.16
V-Shaped,1,N/A,18.91,378.16,7.29,145.87,0.00,0.00
V-Shaped,2,N/A,7.41,148.14,7.00,140.05,0.00,0.00
V-Shaped,3,N/A,0.00,0.00,6.15,122.94,0.00,0.00
V-Shaped,4,N/A,14.22,284.49,18.17,363.38,0.00,0.00
V-Shaped,5,N/A,0.00,0.00,11.16,223.26,0.00,0.00
V-Shaped,6,N/A,49.88,997.67,7.00,140.05,0.00,0.00
V-Shaped,7,N/A,0.00,0.00,10.49,209.78,0.00,0.00
V-Shaped,8,N/A,33.99,679.72,7.00,140.05,4.80,96.03
