Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,3,7.17,143.47,7.33,11.55,0.00,0.00
Convex,2,2,0.39,7.71,8.02,0.00,0.00,0.00
Convex,3,6,13.96,279.20,8.02,0.00,0.00,0.00
Convex,4,7,2.24,44.89,6.10,54.04,0.00,0.00
Convex,5,5,15.91,318.12,8.02,0.00,0.00,0.00
Convex,6,4,2.83,56.53,4.74,66.78,0.00,0.00
Convex,7,0,23.21,464.22,4.60,80.67,0.00,0.00
Convex,8,1,4.09,81.74,8.02,0.00,23.35,466.92
V-Shaped,1,N/A,5.31,106.28,7.00,140.05,0.00,0.00
V-Shaped,2,N/A,1.55,30.94,7.00,140.05,0.00,0.00
V-Shaped,3,N/A,7.95,159.01,7.29,145.87,0.00,0.00
V-Shaped,4,N/A,0.00,0.00,7.70,153.95,0.00,0.00
V-Shaped,5,N/A,12.68,253.67,7.00,140.05,0.00,0.00
V-Shaped,6,N/A,0.00,0.00,9.29,185.85,0.00,0.00
V-Shaped,7,N/A,14.58,291.56,19.74,394.85,0.00,0.00
V-Shaped,8,N/A,0.00,0.00,8.61,172.24,22.96,459.11
