Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,1,30.21,604.11,4.30,57.31,0.00,0.00
Convex,2,0,2.33,46.66,8.02,0.00,0.00,0.00
Convex,3,7,16.84,336.78,8.02,0.00,0.00,0.00
Convex,4,6,8.15,163.02,6.46,74.13,0.00,0.00
Convex,5,2,12.81,256.25,3.45,69.02,0.00,0.00
Convex,6,3,3.10,61.91,8.02,0.00,0.00,0.00
Convex,7,5,29.94,598.74,4.21,50.19,0.00,0.00
Convex,8,4,1.87,37.47,8.02,0.00,37.09,741.87
V-Shaped,1,N/A,25.52,510.43,20.05,400.94,0.00,0.00
V-Shaped,2,N/A,0.00,0.00,10.65,213.04,0.00,0.00
V-Shaped,3,N/A,13.40,268.04,8.47,169.45,0.00,0.00
V-Shaped,4,N/A,0.00,0.00,15.54,310.79,0.00,0.00
V-Shaped,5,N/A,0.99,19.80,8.47,169.45,0.00,0.00
V-Shaped,6,N/A,0.00,0.00,17.64,352.74,0.00,0.00
V-Shaped,7,N/A,18.12,362.38,19.74,394.85,0.00,0.00
V-Shaped,8,N/A,0.00,0.00,12.78,255.58,37.03,740.59
