Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,0,18.62,372.47,8.02,0.00,0.00,0.00
Convex,2,1,0.00,0.00,8.02,0.00,0.00,0.00
Convex,3,7,37.63,752.54,4.68,40.73,0.00,0.00
Convex,4,6,1.43,28.52,8.02,0.00,0.00,0.00
Convex,5,2,34.90,698.10,6.69,71.43,0.00,0.00
Convex,6,5,13.07,261.39,8.02,0.00,0.00,0.00
Convex,7,4,0.00,0.00,8.02,0.00,0.00,0.00
Convex,8,3,18.96,379.21,5.46,84.11,11.10,221.90
V-Shaped,1,N/A,18.86,377.29,8.47,169.45,0.00,0.00
V-Shaped,2,N/A,0.00,0.00,8.72,174.31,0.00,0.00
V-Shaped,3,N/A,30.57,611.49,7.29,145.87,0.00,0.00
V-Shaped,4,N/A,2.53,50.53,7.29,145.87,0.00,0.00
V-Shaped,5,N/A,34.68,693.64,8.47,169.45,0.00,0.00
V-Shaped,6,N/A,11.61,232.18,8.47,169.45,0.00,0.00
V-Shaped,7,N/A,0.00,0.00,10.81,216.17,0.00,0.00
V-Shaped,8,N/A,4.56,91.11,18.84,376.76,4.57,91.38
