Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,2,15.92,318.34,5.82,66.20,0.00,0.00
Convex,2,3,3.33,66.63,8.02,0.00,0.00,0.00
Convex,3,1,18.53,370.56,6.18,50.75,0.00,0.00
Convex,4,0,2.14,42.76,8.02,0.00,0.00,0.00
Convex,5,6,18.69,373.79,5.57,45.63,0.00,0.00
Convex,6,7,1.77,35.43,8.02,0.00,0.00,0.00
Convex,7,5,47.54,950.84,6.59,49.58,0.00,0.00
Convex,8,4,2.09,41.79,8.02,0.00,26.38,527.64
V-Shaped,1,N/A,10.90,217.99,18.84,376.76,0.00,0.00
V-Shaped,2,N/A,0.00,0.00,8.52,170.41,0.00,0.00
V-Shaped,3,N/A,11.39,227.71,7.29,145.87,0.00,0.00
V-Shaped,4,N/A,1.69,33.84,19.36,387.28,0.00,0.00
V-Shaped,5,N/A,8.50,170.10,7.29,145.87,0.00,0.00
V-Shaped,6,N/A,4.85,96.94,8.47,169.45,0.00,0.00
V-Shaped,7,N/A,44.02,880.49,16.42,328.43,0.00,0.00
V-Shaped,8,N/A,0.00,0.00,8.15,163.07,26.03,520.60
