Method,Sequence,GN_Index,Fly_IN_Time (s),Fly_IN_Distance (m),Collection_Time (s),Collection_Distance (m),Fly_Back_Time (s),Fly_Back_Distance (m)
Convex,1,1,11.10,221.96,7.16,12.06,0.00,0.00
Convex,2,0,0.39,7.78,8.02,0.00,0.00,0.00
Convex,3,7,27.02,540.40,8.02,0.00,0.00,0.00
Convex,4,6,3.89,77.80,6.48,63.35,0.00,0.00
Convex,5,3,15.58,311.51,8.02,0.00,0.00,0.00
Convex,6,2,0.22,4.50,8.02,0.00,0.00,0.00
Convex,7,4,43.33,866.56,8.02,0.00,0.00,0.00
Convex,8,5,0.00,0.00,8.02,0.00,37.28,745.64
V-Shaped,1,N/A,9.14,182.72,7.00,140.05,0.00,0.00
V-Shaped,2,N/A,1.33,26.57,7.00,140.05,0.00,0.00
V-Shaped,3,N/A,25.00,499.94,8.47,169.45,0.00,0.00
V-Shaped,4,N/A,0.00,0.00,10.56,211.12,0.00,0.00
V-Shaped,5,N/A,3.61,72.23,7.29,145.87,0.00,0.00
V-Shaped,6,N/A,1.61,32.18,8.47,169.45,0.00,0.00
V-Shaped,7,N/A,35.46,709.22,7.29,145.87,0.00,0.00
V-Shaped,8,N/A,0.00,0.00,6.43,125.37,35.68,713.65
